"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2014JP3787RLT",54,NA,16.6,"clear ","1st round ",2.69,0.99,-0.29,6,72,72,18
"2014JP3787RLT",55,NA,16.1,"clear ","2nd round ",2.13,1.22,0.15,6,72,72,18
"2014JP3787RLQ",58,NA,14.8,"clear ","qualification ",2.01,1.05,0.11,6,71,72,18
"2014JP3784RLT",38,NA,8,"clear ","1st round ",1.46,-0.13,-1.18,22,66,66,17
"2014JP3784RLT",38,NA,7.7,"clear ","2nd round ",0.43,-0.41,-1.74,26,73,73,18
"2014JP3784RLQ",44,NA,6.7,"clear ","qualification ",0.68,-0.16,-0.92,26,73,73,18
"2014JP3783RLT",45,NA,26.2,"partly cloudy ","1st round ",1.72,0.53,-0.27,13,64,64,18
"2014JP3783RLT",46,NA,24.8,"partly cloudy ","2nd round ",0.77,0.02,-1.84,16,69,69,18
"2014JP3783RLQ",57,NA,21.9,"partly cloudy ","qualification ",0.16,-0.41,-0.77,17,69,69,18
"2014JP3782RLT",40,NA,34.7,"sunny ","1st round ",1.7,0.79,-0.07,17,61,61,16
"2014JP3782RLT",49,NA,29.9,"partly cloudy ","2nd round ",1.02,0.39,-0.4,19,61,61,16
"2014JP3782RLQ",60,NA,28.7,"partly cloudy ","qualification ",1.84,0.74,-0.22,21,59,61,16
"2014JP3781RTRIA",35,NA,8.8,"clear ","trial round ",1.07,0.25,-1,22,19,19,11
"2014JP3781RL",38,NA,8.3,"clear ","1st round ",0.78,0.1,-1.23,22,50,50,15
"2014JP3781RL",43,NA,7.5,"clear ","final round ",1.01,-0.04,-1.03,23,30,30,13
"2014JP3766RL",40,NA,17.8,"clear ","1st round ",1.36,0.57,-0.06,21,46,46,16
"2014JP3766RL",43,NA,17.5,"clear ","final round ",-1.05,-1.54,-1.85,25,30,30,11
"2014JP3765RTRIA",33,NA,18.3,"partly cloudy ","trial round ",2.16,0.77,-0.39,19,49,49,16
"2014JP3765RL",34,NA,19.8,"cloudy ","1st round ",1.49,0.55,-0.28,19,49,49,16
"2014JP3765RL",36,NA,16.3,"cloudy ","final round ",0.34,-0.09,-0.69,22,30,30,11
"2014JP3764RTRIA",35,NA,18.1,"sunny ","trial round ",2.34,0.95,0,18,25,25,11
"2014JP3764RLT",32,NA,16.8,"sunny ","1st round ",1.52,0.14,-1.41,20,21,21,11
"2014JP3764RL",34,NA,21,"sunny ","1st round ",2.04,0.71,-0.39,17,40,40,13
"2014JP3764RL",39,NA,21,"sunny ","final round ",1.88,0.69,-0.32,19,30,30,12
"2014JP3763RTRIA",33,NA,13.8,"partly cloudy ","trial round ",2.34,1.28,0.4,16,38,38,13
"2014JP3763RLT",29,NA,18.2,"sunny ","1st round ",0,0,0,13,38,38,13
"2014JP3763RLT",30,NA,18.9,"sunny ","2nd round ",0,0,0,13,36,36,13
"2014JP3763RLT",29,NA,19.7,"sunny ","3rd round ",0,0,0,15,28,28,12
"2014JP3763RL",29,NA,16.6,"partly cloudy ","1st round ",2.07,1.02,0.4,18,39,39,13
"2014JP3763RL",30,NA,16.7,"partly cloudy ","final round ",2.52,0.92,-0.15,16,30,30,12
"2014JP3756RLT",43,NA,11.5,"partly cloudy ","1st round ",0.73,0.03,-0.59,15,47,47,12
"2014JP3756RLT",36,NA,14.4,"partly cloudy ","2nd round ",0.8,0.24,-0.32,16,48,48,12
"2014JP3756RLT",40,NA,12,"partly cloudy ","3rd round ",1.28,0.39,-0.31,14,41,41,12
"2014JP3756RL",50,NA,10.6,"partly cloudy ","1st round ",0,-0.21,-0.48,16,50,51,12
"2014JP3756RL",52,NA,9.9,"partly cloudy ","final round ",-0.4,-0.62,-0.82,17,30,30,10
