"fis_code","humid","snow","air","weather_type","round_type","max_wind","avg_wind","min_wind","gate","counted_jumpers","all_jumpers","all_countries"
"2014JP3744RTRIA",56,NA,20,"partly cloudy","trial round ",2.5,1.9,0.9,11,47,47,6
"2014JP3744RLT",62,NA,20,"rainy","training 1 ",1.2,0.7,-0.5,NA,NA,NA,NA
"2014JP3744RLT",62,NA,19,"cloudy","training 2 ",-0.7,-0.4,-0.2,NA,NA,NA,NA
"2014JP3744RL",56,NA,20,"partly cloudy","1st round ",2.5,1.4,1,10,46,47,6
"2014JP3744RL",55,NA,18,"partly cloudy","2nd round ",2.5,1.6,0.6,11,30,30,6
"2014JP3743RTRIA",56,NA,20,"sunny","trial round ",2.5,1.3,0.8,14,13,13,5
"2014JP3743RLT",62,NA,20,"cloudy","training 1 ",1.4,0.9,0.6,NA,NA,NA,NA
"2014JP3743RLT",62,NA,19,"rainy","training 2 ",-0.7,-0.5,-0.3,NA,NA,NA,NA
"2014JP3743RL",56,NA,20,"partly cloudy","1st round ",2.3,1.7,0.8,NA,NA,NA,NA
"2014JP3743RL",55,NA,19,"partly cloudy","2nd round ",1.6,1.2,0.8,NA,NA,NA,NA
"2014JP3738RL",66,NA,19,"sunny","1st round ",2.5,1.2,0,17,65,65,12
"2014JP3738RL",60,NA,19,"sunny","2nd round ",2.5,1.3,0,17,30,30,10
"2014JP3737RTRIA",65,NA,18,"sunny","trial round ",3.1,2.1,-1.2,18,65,65,12
"2014JP3737RLT",64,NA,17,"sunny","training 1 ",3.1,2.3,1.8,16,50,50,12
"2014JP3737RLT",65,NA,19,"sunny","training 2 ",2.7,1.3,-1.3,18,48,48,11
"2014JP3737RL",65,NA,18,"sunny","1st round ",2,1,0,17,65,65,12
"2014JP3730RTRIA",65,NA,23,"sunny","trial round ",0,0,0,9,64,64,9
"2014JP3730RL",65,NA,26,"sunny","1st round ",0,0,0,9,66,66,9
"2014JP3730RL",65,NA,26,"sunny","2nd round ",0,0,0,10,30,30,6
"2014JP3729RLT",70,NA,20,"overcast","training 1 ",0,0,0,18,35,35,7
"2014JP3729RLT",71,NA,22,"cloudy","training 2 ",0,0,0,12,65,65,9
"2014JP3729RL",67,NA,23,"partly cloudy","1st round ",0,0,0,12,65,66,9
"2014JP3729RL",65,NA,25,"partly cloudy","2nd round ",0,0,0,9,29,30,7
"2014JP3724RTRIA",63,NA,23,"partly cloudy","trial round ",2,1.1,0.5,17,51,51,12
"2014JP3724RL",63,NA,23,"partly cloudy","1st round ",1.5,0.8,0.5,18,51,54,12
"2014JP3724RL",63,NA,22,"sunny","2nd round ",0.8,0.5,0.3,18,30,30,10
"2014JP3723RLT",65,NA,18,"cloudy","training 1 ",0.6,0.3,0,NA,NA,NA,NA
"2014JP3723RLT",65,NA,18,"cloudy","training 2 ",0.9,0.5,0,NA,NA,NA,NA
"2014JP3723RL",74,NA,18,"rainy","1st round ",1,0.5,0,22,36,41,9
"2014JP3723RL",75,NA,18,"rainy","2nd round ",0.9,0.4,0,22,27,30,9
"2014JP3719RTRIA",53,NA,32,"sunny","trial round ",1.4,0.7,0.4,12,90,90,12
"2014JP3719RL",53,NA,34,"sunny","1st round ",1.8,0.8,-0.4,12,90,90,12
"2014JP3719RL",52,NA,35,"sunny","2nd round ",1.6,0.7,0.5,12,30,30,8
"2014JP3718RTRIA",54,NA,34,"partly cloudy","trial round ",1.5,-0.6,-1.3,12,91,91,12
"2014JP3718RLT",54,NA,31,"sunny","training 1 ",1.5,0.8,0.4,NA,NA,NA,NA
"2014JP3718RLT",52,NA,33,"sunny","training 2 ",2.4,0.8,0.5,NA,NA,NA,NA
"2014JP3718RL",54,NA,35,"partly cloudy","1st round ",1.2,-0.4,-0.7,12,91,91,12
"2014JP3718RL",54,NA,35,"sunny","2nd round ",0.6,-0.2,-0.6,12,30,30,8
"2014JP3709RTRIA",55,NA,19,"partly cloudy","trial round ",1,0.6,0.3,12,77,77,12
"2014JP3709RL",56,NA,21,"partly cloudy","1st round ",0,0,0.2,11,78,78,12
"2014JP3709RL",58,NA,22,"partly cloudy","2nd round ",1.2,0.8,0.2,11,30,30,10
"2014JP3708RTRIA",53,NA,18,"partly cloudy","trial round ",1,0.6,0.3,18,30,30,7
"2014JP3708RL",56,NA,20,"partly cloudy","1st round ",1,0.6,0.3,16,31,32,7
"2014JP3708RL",56,NA,22,"partly cloudy","2nd round ",1.5,0.9,0.2,17,29,29,7
"2014JP3707RLT",78,NA,25,"sunny","training 1 ",1.6,0.9,0.6,13,62,62,10
"2014JP3707RLT",79,NA,26,"sunny","training 2 ",1.5,1.1,0.8,11,72,72,11
"2014JP3707RL",78,NA,26,"cloudy, sunny, rainy","1st round ",1.2,0.6,-0.4,11,78,79,12
"2014JP3707RL",85,NA,22,"cloudy, rainy","2nd round ",-0.7,-2,0,12,34,34,9
"2014JP3706RLT",78,NA,25,"sunny","training 1 ",1.8,1.1,0.6,18,12,12,4
"2014JP3706RLT",78,NA,26,"sunny","training 2 ",1.4,1.2,0.8,18,32,32,7
"2014JP3706RL",79,NA,26,"partly cloudy","1st round ",1.1,0.7,0.4,18,30,32,7
"2014JP3706RL",82,NA,25,"cloudy, sunny, rainy","2nd round ",0.8,0.2,-0.5,18,30,30,6
"2013JP3934RTRIA",90,2,0,"rainy","trial round ",0,0,0,7,19,19,4
"2013JP3934RL",90,2,0,"rainy","1st round ",0.5,0,-0.5,NA,NA,NA,NA
"2013JP3934RL",86,3,0,"cloudy","2nd round ",0.2,-0.4,-1.2,NA,NA,NA,NA
"2013JP3933RL",87,2,0,"cloudy","1st round ",1,0,-1,NA,NA,NA,NA
"2013JP3933RL",85,-1,1,"rainy","2nd round ",2,0.5,-1,NA,NA,NA,NA
"2013JP3924RTRIA",90,2,0,"rainy","trial round ",1,0.4,-0.2,4,61,61,10
"2013JP3924RL",90,2,0,"cloudy","1st round ",0.5,0,-0.5,4,62,62,10
"2013JP3924RL",86,3,0,"cloudy","2nd round ",0.2,0.4,-1.2,4,30,30,9
"2013JP3923RL",87,2,0,"cloudy","1st round ",1,0,-1,5,61,61,10
"2013JP3923RL",85,-2,-1,"rainy","2nd round ",1,0.3,-0.5,4,30,30,10
"2013JP3920RTRIA",82,-8,-7,"overcast","trial round ",3,1.2,0.5,10,28,28,6
"2013JP3920RL",84,-8,-7,"overcast","1st round ",1.8,0.7,0.2,NA,NA,NA,NA
"2013JP3920RL",84,-8,-7,"overcast","2nd round ",1.1,0.9,-0.1,NA,NA,NA,NA
"2013JP3919RTRIA",84,-2,2,"overcast","trial round ",1,0.1,-0.5,14,28,28,6
"2013JP3919RLT",79,-2,2,"sunny","training 1 ",3.2,1.5,1,12,28,28,6
"2013JP3919RLT",79,-2,2,"sunny","training 2 ",3.2,1.5,1,12,27,27,5
"2013JP3919RL",82,-2,1,"overcast","1st round ",0.5,-0.1,-0.6,NA,NA,NA,NA
"2013JP3919RL",89,-2,1,"overcast","2nd round ",0.2,-0.6,-1,NA,NA,NA,NA
"2013JP3903RL",98,-5,-1,"snowy","1st round ",3,1.7,1,8,54,54,7
"2013JP3903RL",98,-5,-1,"snowy","2nd round ",2.5,2,1.5,7,31,31,5
"2013JP3902RTRIA",64,-5,-1,"overcast","trial round ",1.7,1.1,0.6,11,60,60,9
"2013JP3902RLT",96,-6,-1,"overcast","training 1 ",2.2,1.3,0.5,11,55,55,9
"2013JP3902RLT",96,-6,-1,"overcast","training 2 ",2.2,1.5,0.5,11,54,54,9
"2013JP3902RL",64,-6,-2,"cloudy","1st round ",2,1,0,11,60,60,9
"2013JP3902RL",64,-6,-2,"partly cloudy","2nd round ",1.5,0.5,-0.3,11,30,30,5
"2013JP3884RTRIA",85,-5,-3,"overcast","trial round ",-0.8,-0.5,-0.3,30,30,30,8
"2013JP3884RL",89,-4,-1,"overcast","1st round ",-0.5,-0.3,-0.2,32,34,35,8
"2013JP3884RL",84,-4,-1,"overcast","2nd round ",-0.7,-0.5,-0.2,34,28,28,7
"2013JP3883RTRIA",95,-6,-3,"snowy","trial round ",0,-0.2,-0.5,20,10,10,4
"2013JP3883RL",92,-6,-3,"overcast","1st round ",0.7,0.2,-0.5,NA,NA,NA,NA
"2013JP3883RL",92,-6,-2,"overcast","2nd round ",0,-0.1,-0.3,NA,NA,NA,NA
"2013JP3882RTRIA",90,-4,-1,"snowy","trial round ",1,0.4,-0.4,29,35,35,9
"2013JP3882RLT",95,-3,1,"snowy","training 1 ",0.5,0.2,0,NA,NA,NA,NA
"2013JP3882RLT",95,-3,1,"snowy","training 2 ",0.4,0.2,-0.2,NA,NA,NA,NA
"2013JP3882RLT",95,-3,1,"snowy","training 3 ",0.6,0.3,-0.3,NA,NA,NA,NA
"2013JP3882RL",90,-4,-2,"overcast","1st round ",0.8,0.3,-0.4,29,37,37,9
"2013JP3882RL",90,-4,-2,"snowy","2nd round ",1,0.3,-0.7,30,30,30,7
"2013JP3881RTRIA",90,-4,-2,"overcast","trial round ",0,-0.1,-0.2,20,10,10,4
"2013JP3881RLT",90,-3,1,"overcast","training 1 ",0,0,-0.1,NA,NA,NA,NA
"2013JP3881RLT",90,-3,1,"overcast","training 2 ",0,0,-0.1,NA,NA,NA,NA
"2013JP3881RLT",90,-3,1,"overcast","training 3 ",0,0.1,0.2,NA,NA,NA,NA
"2013JP3881RL",90,-4,-2,"overcast","1st round ",0.4,0.2,-0.4,NA,NA,NA,NA
"2013JP3881RL",90,-4,-2,"overcast","2nd round ",0.4,0.2,-0.2,NA,NA,NA,NA
"2013JP3878RTRIA",73,-7,-6,"snowy","trial round ",1.5,1.1,0.7,14,76,76,11
"2013JP3878RL",78,-9,-8,"snowy","1st round ",2.2,1.5,1.3,14,75,76,11
"2013JP3878RL",72,-9,-8,"cloudy","2nd round ",2.1,1.4,1,12,30,30,8
"2013JP3877RTRIA",69,-6,-7,"snowy","trial round ",2,1.6,1.2,14,77,77,11
"2013JP3877RLT",81,-6,-4,"partly cloudy","training 1 ",0.5,0.3,0.1,18,77,77,11
"2013JP3877RLT",81,-6,-4,"partly cloudy","training 2 ",1.2,0.6,-0.4,16,76,76,11
"2013JP3877RL",71,-7,-6,"cloudy","1st round ",2,1.3,0.6,14,77,77,11
"2013JP3877RL",73,-7,-5,"cloudy","2nd round ",1.2,0.7,0.5,14,31,31,9
"2013JP3831RL",20,-3,0,"sunny","1st round ",1.7,1,0.6,20,82,82,12
"2013JP3831RL",20,-3,0,"sunny","2nd round ",2.6,2.2,1.6,20,30,30,7
"2013JP3830RTRIA",20,-9,-7,"sunny","trial round ",-0.2,-0.4,-0.6,26,82,82,12
"2013JP3830RL",20,-7,-6,"sunny","1st round ",0.2,0.3,0.5,22,82,82,12
"2013JP3830RL",NA,NA,NA,NA,"2nd round ",NA,NA,NA,22,30,30,8
"2013JP3762RTRIA",95,NA,12,"rainy","trial round ",-4.2,-3.4,-2.8,25,43,43,8
"2013JP3762RL",94,NA,12,"rainy","1st round ",-3.4,-1.4,-0.8,25,44,44,9
"2013JP3762RL",95,NA,11,"rainy","2nd round ",-2.3,-1.2,-0.2,25,30,30,8
"2013JP3761RLT",71,NA,18,"overcast","training 1 ",2.3,1.3,0.7,24,34,34,8
"2013JP3761RLT",71,NA,18,"overcast","training 2 ",3.4,2,-1.4,24,44,44,9
"2013JP3761RL",75,NA,16,"overcast","1st round ",1.8,0.4,-0.8,25,49,49,9
"2013JP3761RL",76,NA,16,"overcast","2nd round ",-0.8,-0.2,0,24,29,29,7
"2013JP3740RTRIA",77,NA,16,"partly cloudy","trial round ",2.2,-0.3,-1.1,28,56,56,9
"2013JP3740RL",75,NA,16,"partly cloudy","1st round ",2.7,1.4,0.6,26,57,57,9
"2013JP3740RL",74,NA,17,"partly cloudy","2nd round ",2.8,1.5,0.9,27,31,31,8
"2013JP3739RTRIA",83,NA,16,"overcast","trial round ",2.1,1.2,0.2,27,57,57,9
"2013JP3739RLT",76,NA,18,"partly cloudy","training 1 ",3.4,1.2,0.5,NA,NA,NA,NA
"2013JP3739RLT",76,NA,22,"partly cloudy","training 2 ",3.5,2.1,1.1,NA,NA,NA,NA
"2013JP3739RL",76,NA,18,"overcast","1st round ",1.7,0.6,0,27,57,57,9
"2013JP3739RL",76,NA,18,"overcast","2nd round ",2.9,1.2,0.6,28,30,30,7
"2013JP3719RTRIA",83,NA,10,"cloudy","trial round ",1.3,0.7,0.2,19,44,44,10
"2013JP3719RL",83,NA,9,"cloudy","1st round ",1.2,0.4,0.1,20,42,45,10
"2013JP3719RL",83,NA,8,"cloudy","2nd round ",0.9,0.3,0.1,21,30,30,9
"2013JP3718RTRIA",83,NA,10,"rainy","trial round ",2,1,0,22,40,40,9
"2013JP3718RLT",84,NA,13,"rainy","training 1 ",5,4,2.5,18,40,40,9
"2013JP3718RLT",84,NA,13,"rainy","training 2 ",4,4,4,22,1,1,1
"2013JP3718RL",83,NA,10,"rainy","1st round ",1.8,1,0,19,39,41,9
"2013JP3718RL",82,NA,10,"rainy","2nd round ",1.4,0.8,0,19,30,30,7
"2013JP3708RL",85,NA,13,"rainy","1st round ",0,0,0,NA,NA,NA,NA
"2013JP3708RL",85,NA,13,"cloudy to rainy","2nd round ",0,0,0,NA,NA,NA,NA
"2013JP3707RL",85,NA,13,"cloudy to rainy","1st round ",0,0,0,13,79,79,13
"2013JP3706RLT",82,NA,21,"cloudy","training 1 ",0,0,0,16,23,23,8
"2013JP3706RLT",82,NA,22,"partly cloudy","training 2 ",0,0,0,17,21,21,9
"2013JP3706RL",81,NA,23,"partly cloudy","1st round ",0,0,0,NA,NA,NA,NA
"2013JP3706RL",82,NA,23,"sunny","2nd round ",0,0,0,NA,NA,NA,NA
"2013JP3705RLT",82,NA,21,"cloudy","training 1 ",0,0,0,NA,NA,NA,NA
"2013JP3705RLT",82,NA,23,"partly cloudy","training 2 ",0,0,0,NA,NA,NA,NA
"2013JP3705RL",81,NA,24,"partly cloudy to rainy","1st round ",0,0,0,11,74,79,13
"2013JP3705RL",80,NA,22,"sunny","2nd round ",0,0,0,13,31,31,9
"2012JP3216RTRIA",43,-5,10,"sunny","trial round ",0.1,-0.2,-0.6,27,49,49,7
"2012JP3216RL",40,-6,11,"sunny","1st round ",0,-0.3,-0.5,27,50,50,7
"2012JP3216RL",34,-5,12,"sunny","2nd round ",0.5,-0.1,-0.4,27,30,30,7
"2012JP3215RTRIA",46,-4,9,"sunny","trial round ",0,-0.1,-0.2,26,50,50,7
"2012JP3215RL",43,-5,11,"sunny","1st round ",-0.1,-0.2,-0.3,26,50,50,7
"2012JP3215RL",35,-6,13,"sunny","2nd round ",-0.1,-0.4,-0.5,26,30,30,6
"2012JP3214RTRIA",56,-1,2,"sunny","trial round ",0,0,0,15,30,30,7
"2012JP3214RL",44,-1,1,"sunny","1st round ",0,0,0,NA,NA,NA,NA
"2012JP3214RL",58,-1,0,"sunny","2nd round ",0,0,0,NA,NA,NA,NA
"2012JP3213RLT",78,-3,-2,"sunny","training 1 ",0,0,0,12,30,30,7
"2012JP3213RL",78,-2,0,"sunny to partly cloudy","1st round ",0,0,0,NA,NA,NA,NA
"2012JP3213RL",78,-2,1,"partly cloudy","2nd round ",0,0,0,NA,NA,NA,NA
"2012JP3188RTRIA",87,-6,-10,"snowy","trial round ",0.8,0.3,-0.3,3,68,68,11
"2012JP3188RL",88,-7,-10,"snowy","1st round ",0.6,0.3,-0.3,4,69,69,11
"2012JP3188RL",86,-6,-10,"snowy","2nd round ",0.8,0.3,-0.4,4,30,30,7
"2012JP3187RTRIA",NA,NA,NA,NA,"trial round ",NA,NA,NA,8,69,69,11
"2012JP3187RL",NA,NA,NA,NA,"1st round ",NA,NA,NA,11,70,70,11
"2012JP3187RL",NA,NA,NA,NA,"2nd round ",NA,NA,NA,11,32,32,6
"2012JP3135RL",NA,NA,NA,NA,"1st round ",NA,NA,NA,10,76,76,13
"2012JP3135RL",NA,NA,NA,NA,"final round ",NA,NA,NA,10,30,30,9
"2012JP3133RTRIA",NA,NA,NA,NA,"trial round ",NA,NA,NA,10,73,73,12
"2012JP3133RLT",NA,NA,NA,NA,"1st round ",NA,NA,NA,10,73,73,12
"2012JP3133RL",NA,NA,NA,NA,"1st round ",NA,NA,NA,10,74,74,12
"2012JP3133RL",NA,NA,NA,NA,"final round ",NA,NA,NA,10,30,30,8
"2012JP3131RTRIA",72,-1,3,"partly cloudy","trial round ",0.2,0.1,-0.3,13,31,31,6
"2012JP3131RL",75,-1,1,"partly cloudy","1st round ",0.4,0.2,-0.2,11,31,31,6
"2012JP3131RL",78,-1,2,"cloudy","2nd round ",0.4,0.2,-0.3,11,30,30,6
"2012JP3130RLT",98,5,0,"rainy and foggy","training 1 ",0.3,-0.1,-0.3,NA,NA,NA,NA
"2012JP3130RLT",97,5,0,"rainy and foggy","training 2 ",0.3,-0.1,-0.3,NA,NA,NA,NA
"2012JP3130RL",99,5,1,"rainy and foggy","1st round ",0.4,0.1,-0.2,13,32,32,6
"2012JP3130RL",99,5,1,"rainy and foggy","2nd round ",0.3,0.1,-0.2,13,30,30,6
"2012JP3038RTRIA",77,NA,20,"sunny","trial round ",0,0,0,17,61,61,8
"2012JP3038RL",71,NA,24,"sunny","1st round ",0,0,0,16,62,62,8
"2012JP3038RL",72,NA,26,"sunny","2nd round ",0,0,0,15,30,30,6
"2012JP3037RLT",75,NA,28,"sunny","training 1 ",0,0,0,17,47,47,7
"2012JP3037RLT",75,NA,28,"sunny","training 2 ",0,0,0,19,55,55,8
"2012JP3037RL",75,NA,27,"sunny","1st round ",0,0,0,18,61,62,8
"2012JP3037RL",78,NA,27,"sunny","2nd round ",0,0,0,18,30,30,6
"2012JP3017RTRIA",84,NA,15,"sunny","trial round ",0,0,0,11,45,45,9
"2012JP3017RL",79,NA,18,"sunny","1st round ",0,0,0,10,50,50,9
"2012JP3017RL",81,NA,19,"sunny","2nd round ",0,0,0,9,30,30,7
"2012JP3016RTRIA",81,NA,21,"partly cloudy","trial round ",0,0,0,10,47,47,9
"2012JP3016RLT",81,NA,18,"partly cloudy","training 1 ",0,0,0,10,50,50,9
"2012JP3016RLT",81,NA,17,"partly cloudy","training 2 ",0,0,0,10,48,48,9
"2012JP3016RL",81,NA,19,"partly cloudy","1st round ",0,0,0,10,47,50,9
"2012JP3016RL",79,NA,16,"partly cloudy","2nd round ",0,0,0,11,30,30,6
"2012JP3008RTRIA",79,NA,22,"sunny","trial round ",2.2,1.6,0.7,8,78,78,13
"2012JP3008RL",75,NA,26,"sunny","1st round ",2.1,1.1,0.4,8,78,79,13
"2012JP3008RL",75,NA,26,"sunny","2nd round ",1.4,0.8,0.1,8,29,30,8
"2012JP3007RTRIA",82,NA,26,"partly cloudy","trial round ",2.2,1.2,0.5,8,82,82,14
"2012JP3007RLT",82,NA,25,"partly cloudy","training 1 ",2.5,1.4,0.3,7,56,56,12
"2012JP3007RL",82,NA,26,"partly cloudy","1st round ",1.4,0.8,0.3,9,80,80,14
"2012JP3007RL",82,NA,25,"partly cloudy","2nd round ",0.6,0.2,-0.2,9,30,30,8
"2015JP3916RLQ",76,-7.8,0.5,"partly cloudy ","qualification ",0.13,-0.4,-1.08,14,74,75,19
"2015JP3916RL",72,-7.9,1.2,"cloudy ","1st round ",0.52,-0.44,-0.87,12,51,51,14
"2015JP3916RL",72,-7.9,1.3,"cloudy ","final round ",0.12,-0.32,-0.64,12,30,30,10
"2015JP3915RTRIA",84,-6.4,3.7,"partly cloudy ","trial round ",0.18,-0.43,-1.14,13,49,49,13
"2015JP3915RL",93,-6.4,3.3,"cloudy ","1st round ",-0.06,-0.83,-1.4,15,50,50,13
"2015JP3915RL",93,-6.3,3.5,"cloudy ","final round ",0.54,-0.17,-0.67,13,30,30,11
"2015JP3914RLT",88,-5.3,5.7,"partly cloudy ","1st round ",0.45,-0.65,-2.15,16,73,73,19
"2015JP3914RLT",91,-5.3,5.2,"partly cloudy ","2nd round ",0.34,-0.61,-1.67,15,73,73,19
"2015JP3914RLQ",88,-5.1,6.1,"partly cloudy ","qualification ",0.48,-0.41,-1.42,17,71,71,18
"2015JP3913RTRIA",95,-7,1.4,"overcast ","trial round ",0.62,0.4,0.07,8,29,29,10
"2015JP3913RL",95,-10,2,"overcast ","1st round ",0.61,0.35,-0.06,8,31,31,10
"2015JP3913RL",95,-10,2,"overcast / fog ","final round ",0.55,0.32,-0.02,8,30,30,10
"2015JP3912RTRIA",85,-7,1.2,"sunny ","trial round ",0.89,0.48,0.13,0,30,30,8
"2015JP3912RL",53,-7,9,"sunny ","final round ",2.52,1.67,0.58,4,32,32,8
"2015JP3911RTRIA",56,-7,9.8,"partly cloudy ","trial round ",0.28,-0.13,-0.41,9,39,39,12
"2015JP3911RL",51,-7,10.1,"partly cloudy ","1st round ",0.96,0.01,-0.92,9,41,41,12
"2015JP3911RL",66,-7,5.2,"partly cloudy ","final round ",-0.7,-1.01,-1.2,11,30,30,9
"2015JP3910RLT",85,-7,5.2,"sunny ","1st round ",0.83,0.46,0.05,8,63,63,17
"2015JP3910RLT",72,-7,7.1,"sunny ","2nd round ",1.16,0.59,-0.03,9,62,62,17
"2015JP3910RLQ",58,-7,8.2,"sunny ","qualification ",0.75,-0.02,-0.57,9,60,60,17
"2015JP3908RLQ",60,-8,5,"cloudy ","qualification ",0.22,0.05,-0.14,11,44,45,11
"2015JP3908RL",61,-8,6.5,"cloudy ","1st round ",0.35,-0.09,-0.58,11,40,40,11
"2015JP3908RL",75,-8,4,"cloudy ","final round ",-0.31,-0.63,-0.74,12,30,30,9
"2015JP3906RTRIA",68,-8,3,"partly cloudy ","trial round ",0.01,-0.45,-0.95,11,38,38,9
"2015JP3906RLT",60,-8,3,"partly cloudy ","1st round ",0.8,0,-0.35,9,44,44,11
"2015JP3906RLT",60,-8,3,"partly cloudy ","2nd round ",0.86,-0.12,-0.58,10,45,45,11
"2015JP3906RLQ",74,-9,1,"partly cloudy ","qualification ",-0.31,-0.6,-0.82,11,43,43,11
"2015JP3906RL",66,-8,4.5,"partly cloudy ","1st round ",0.54,-0.26,-1.02,11,40,40,10
"2015JP3906RL",66,-7.5,6,"partly cloudy ","final round ",0.46,-0.36,-1.11,11,31,31,8
"2015JP3897RTRIA",72,-8.8,-1.5,"partly cloudy ","trial round ",1.5,0.11,-1.24,11,52,52,11
"2015JP3897RL",76,-8.8,-2,"cloudy ","final round ",1.24,0.48,-0.82,10,54,54,11
"2015JP3896RTRIA",86,-9,-2.3,"cloudy ","trial round ",1.02,0.6,-0.2,9,50,50,10
"2015JP3896RL",87,-8.8,-2.4,"cloudy ","1st round ",1,0.52,-0.03,10,50,50,10
"2015JP3896RL",87,-8.8,-2.5,"cloudy ","final round ",0.74,0.32,-0.04,10,30,30,9
"2015JP3895RLT",35,-9,-4,"clear ","1st round ",0.69,0.21,-0.36,10,47,47,10
"2015JP3895RLT",35,-9,-3,"clear ","2nd round ",0.65,0.18,-0.31,10,54,54,11
"2015JP3895RLT",35,-9,-4,"clear ","3rd round ",0.94,0.32,-0.29,11,48,48,11
"2015JP3895RLQ",58,-8.8,-4,"clear ","qualification ",0.95,0.07,-1.01,12,54,54,11
"2015JP3894RTRIA",80,-10,0.9,"overcast ","trial round ",1.32,0.5,-0.74,29,36,36,12
"2015JP3894RL",87,-10,-2,"lightly snowfall ","1st round ",1.49,0.6,-0.48,29,39,39,12
"2015JP3893RTRIA",80,-10,-2.6,"cloudy ","trial round ",0.71,0.28,-0.19,29,38,38,12
"2015JP3893RLT",88,-10,-0.9,"overcast ","1st round ",0.57,0,-0.6,33,39,39,12
"2015JP3893RLT",85,-10,-0.7,"overcast ","2nd round ",0.39,0.04,-0.36,31,39,39,12
"2015JP3893RL",79,-10,-1,"cloudy ","1st round ",0.71,0.29,-0.14,29,38,39,12
"2015JP3893RL",79,-10,-0.6,"cloudy ","final round ",0.23,-0.09,-0.39,29,30,30,10
"2015JP3890RLQ",90,-2,0.8,"fog ","qualification ",0.97,0.62,0.2,8,64,64,16
"2015JP3890RL",89,-3,1.1,"fog ","1st round ",0.93,0.39,0.05,8,50,50,12
"2015JP3890RL",97,-3,0.9,"fog ","final round ",0.71,0.18,-0.2,8,30,30,8
"2015JP3889RL",55,-2,5.6,"cloudy ","1st round ",-0.01,-0.84,-1.26,10,36,36,9
"2015JP3889RL",55,-2,5.3,"cloudy ","final round ",-0.12,-0.87,-1.44,11,32,32,8
"2015JP3888RLT",55,-2,7.1,"cloudy ","1st round ",1.4,0.13,-1.14,7,65,65,16
"2015JP3888RLT",55,-2,6,"cloudy ","2nd round ",0.66,-0.41,-1.52,9,60,60,16
"2015JP3887RTRIA",84,-9.7,1.3,"cloudy ","trial round ",-0.01,-0.74,-1.51,10,40,40,12
"2015JP3887RLT",91,-9.7,-0.8,"partly cloudy ","1st round ",-0.17,-0.55,-0.74,13,53,53,15
"2015JP3887RLT",95,-9.7,-0.5,"partly cloudy ","2nd round ",1.07,0.05,-0.87,10,63,63,16
"2015JP3887RLQ",84,-9.7,2.1,"partly cloudy ","qualification ",1.63,-0.04,-1.34,10,62,62,16
"2015JP3887RL",80,-9.7,1.6,"cloudy ","final round ",1.12,0.24,-0.61,10,50,50,13
"2015JP3884RLQ",65,-8,9,"sunny ","qualification ",1.86,0.49,-0.58,14,63,64,18
"2015JP3884RL",67,-7.9,7.5,"sunny ","1st round ",1.78,0.69,-0.19,13,51,51,15
"2015JP3884RL",75,-7.7,4.8,"sunny ","final round ",1.18,0.4,-0.36,14,31,31,10
"2015JP3883RLT",65,-9.5,8,"sunny ","1st round ",1.22,0.47,-0.39,14,60,60,18
"2015JP3883RLT",65,-9.5,7.5,"sunny ","2nd round ",1.01,0.21,-0.59,15,60,60,18
"2015JP3883RLQ",74,-9,4,"sunny ","qualification ",0.52,0.01,-0.5,15,60,60,18
"2015JP3883RL",73,-9,2.8,"clear ","1st round ",1.01,0.48,-0.05,15,50,50,14
"2015JP3883RL",81,-8.5,2.1,"clear ","final round ",1.16,0.63,-0.02,14,30,30,11
"2015JP3882RTRIA",66,-5,2.9,"clear ","trial round ",0.74,-0.13,-0.65,30,31,31,10
"2015JP3882RLT",76,-5.5,2.9,"sunny ","1st round ",1.41,0.74,0.02,28,31,31,10
"2015JP3882RLT",71,-5.5,3.1,"sunny ","2nd round ",1.46,0.82,-0.12,29,32,32,10
"2015JP3882RL",68,-9.5,2.3,"clear ","1st round ",0.13,-0.19,-0.5,32,32,32,10
"2015JP3882RL",71,-9.5,1.1,"clear ","final round ",0.04,-0.36,-0.67,32,30,30,10
"2015JP3881RTRIA",70,-6.5,3,"partly cloudy ","trial round ",2.32,1.43,0.78,5,39,39,13
"2015JP3881RLT",75,-6.5,3.9,"partly cloudy ","1st round ",1.05,0.29,-0.62,13,59,59,17
"2015JP3881RLT",75,-6.5,4.3,"partly cloudy ","2nd round ",0.94,0.39,-0.95,13,56,56,17
"2015JP3881RLQ",75,-6.5,5,"partly cloudy ","qualification ",0.96,0.38,-0.35,13,59,59,17
"2015JP3881RL",72,-6.5,2.1,"partly cloudy ","1st round ",2.2,0.14,-0.58,5,50,50,14
"2015JP3881RL",73,-6.5,1.3,"partly cloudy ","final round ",0.73,-0.25,-1.04,13,30,30,9
"2015JP3880RLQ",86,-6,0.3,"cloudy ","qualification ",1.45,0.85,0.2,8,53,53,15
"2015JP3880RL",86,-6,0.3,"cloudy ","1st round ",1.24,0.76,0.07,6,39,40,12
"2015JP3880RL",86,-6,0,"cloudy ","final round ",1.29,0.75,-0.22,6,30,30,10
"2015JP3879RTRIA",91,-6,0.6,"overcast ","trial round ",1.23,0.74,0.3,9,37,37,11
"2015JP3879RL",95,-6,0.2,"overcast / fog ","1st round ",1.9,0.81,-0.02,9,40,40,11
"2015JP3879RL",95,-6,0.1,"overcast / fog ","final round ",0.86,0.27,0,11,30,30,9
