"","codex","place","month","day","year","gender","hill_size.x","team","season","X","Unnamed..0","hill_size.y","k.point","meter.value","gate.factor","wind.factor"
"271",3068,"Lillehammer (NOR)","December",6,2019,"Women",140,0,2020,270,270,140,123,1.8,7.56,9.9
"272",3070,"Lillehammer (NOR)","December",8,2019,"Women",140,0,2020,271,271,140,123,1.8,7.56,9.9
"273",3073,"Sapporo (JPN)","January",10,2020,"Women",137,0,2020,272,272,137,123,1.8,7.4,10.8
"274",3075,"Sapporo (JPN)","January",12,2020,"Women",137,0,2020,273,273,137,123,1.8,7.4,10.8
"275",3076,"Zao (JPN)","January",16,2020,"Women",102,0,2020,274,274,102,95,2,7,8
"276",3079,"Zao (JPN)","January",19,2020,"Women",102,0,2020,275,275,102,95,2,7,8
"277",3080,"Rasnov (ROU)","January",24,2020,"Women",97,0,2020,276,276,97,90,2,7,8
"278",3082,"Rasnov (ROU)","January",26,2020,"Women",97,0,2020,277,277,97,90,2,7,8
"279",3083,"Oberstdorf (GER)","January",31,2020,"Women",137,0,2020,278,278,137,120,1.8,7.56,10.8
"280",3085,"Oberstdorf (GER)","February",2,2020,"Women",137,0,2020,279,279,137,120,1.8,7.56,10.8
"281",3086,"Hinzenbach (AUT)","February",7,2020,"Women",90,0,2020,280,280,90,85,2,4.8,7
"282",3088,"Hinzenbach (AUT)","February",9,2020,"Women",90,0,2020,281,281,90,85,2,4.8,7
"283",3091,"Ljubno (SLO)","February",23,2020,"Women",94,0,2020,282,282,94,85,2,7,8
"284",3092,"Oslo (NOR)","March",7,2020,"Women",134,0,2020,283,283,134,120,1.8,7.13,9.9
"285",3095,"Lillehammer (NOR)","March",10,2020,"Women",140,0,2020,284,284,140,123,1.8,7.56,9.9
"286",3096,"Trondheim (NOR)","March",11,2020,"Women",138,0,2020,285,285,138,124,1.8,7.45,10.8
"287",3106,"Wisla (POL)","November",22,2019,"Men",134,0,2020,286,286,134,120,1.8,7.24,10.8
"288",3109,"Ruka (FIN)","November",29,2019,"Men",142,0,2020,287,287,142,120,1.8,9.54,11.7
"289",3112,"Nizhny Tagil (RUS)","December",6,2019,"Men",134,0,2020,288,288,134,120,1.8,7.24,9.9
"290",3114,"Nizhny Tagil (RUS)","December",8,2019,"Men",134,0,2020,289,289,134,120,1.8,7.24,9.9
"291",3115,"Klingenthal (GER)","December",13,2019,"Men",140,0,2020,290,290,140,125,1.8,7.67,10.8
"292",3118,"Engelberg (SUI)","December",21,2019,"Men",140,0,2020,291,291,140,125,1.8,7.56,10.44
"293",3121,"Oberstdorf (GER)","December",28,2019,"Men",137,0,2020,292,292,137,120,1.8,7.56,10.8
"294",3123,"Garmisch-Partenkirchen (GER)","December",31,2019,"Men",142,0,2020,293,293,142,125,1.8,7.67,10.44
"295",3125,"Innsbruck (AUT)","January",3,2020,"Men",130,0,2020,294,294,130,120,1.8,7.02,9.9
"296",3127,"Bischofshofen (AUT)","January",5,2020,"Men",142,0,2020,295,295,142,125,1.8,4.86,10.8
"297",3130,"Val di Fiemme (ITA)","January",10,2020,"Men",104,0,2020,296,296,104,95,2,5,8
"298",3132,"Val di Fiemme (ITA)","January",12,2020,"Men",104,0,2020,297,297,104,95,2,5,8
"299",3133,"Titisee-Neustadt (GER)","January",17,2020,"Men",142,0,2020,298,298,142,125,1.8,7.67,10.8
"300",3136,"Zakopane (POL)","January",24,2020,"Men",140,0,2020,299,299,140,125,1.8,7.56,10.8
"301",3139,"Sapporo (JPN)","January",31,2020,"Men",137,0,2020,300,300,137,123,1.8,7.4,10.8
"302",3141,"Sapporo (JPN)","February",2,2020,"Men",137,0,2020,301,301,137,123,1.8,7.4,10.8
"303",3143,"Willingen (GER)","February",8,2020,"Men",145,0,2020,302,302,145,130,1.8,7.99,11.7
"304",3147,"Tauplitz/ Bad Mitterndorf (AUT)","February",16,2020,"Men",235,0,2020,303,303,235,200,1.2,8.46,14.4
"305",3148,"Lahti (FIN)","February",28,2020,"Men",130,0,2020,304,304,130,116,1.8,7.56,9.9
"306",3151,"Oslo (NOR)","March",6,2020,"Men",134,0,2020,305,305,134,120,1.8,7.13,9.9
"307",3156,"Lillehammer (NOR)","March",10,2020,"Men",140,0,2020,306,306,140,123,1.8,7.56,9.9
"308",3157,"Trondheim (NOR)","March",11,2020,"Men",138,0,2020,307,307,138,124,1.8,7.45,10.8
"309",3210,"Rasnov (ROU)","February",20,2020,"Men",97,0,2020,308,308,97,90,2,7,8
"310",3212,"Rasnov (ROU)","February",22,2020,"Men",97,0,2020,309,309,97,90,2,7,8
