"","codex","place","gender","hill_size.x","team","season","X","hill_size.y","k.point","meter.value","gate.factor","wind.factor","qual","type","date"
"119",3022,"Rasnov (ROU)","Men",97,0,2019,118,97,90,2,7,8,0,2,2018-09-23
"1153",3144,"Zakopane (POL)","Men",134,0,2019,1134,134,NA,NA,NA,NA,0,1,2018-09-23
"191",3037,"Hinzenbach (AUT)","Men",90,0,2019,55,90,85,2,4.8,7,1,2,2018-09-29
"1154",3171,"Klingenthal (GER)","Men",140,0,2019,1137,140,125,1.8,7.56,10.8,0,1,2018-09-29
"120",3024,"Hinzenbach (AUT)","Men",90,0,2019,119,90,85,2,4.8,7,0,2,2018-09-30
"1155",3172,"Klingenthal (GER)","Men",140,0,2019,1138,140,125,1.8,7.56,10.8,0,1,2018-09-30
"192",3038,"Klingenthal (GER)","Men",140,0,2019,56,140,125,1.8,7.67,10.8,1,2,2018-10-02
"193",3039,"Klingenthal (GER)","Women",140,0,2019,57,140,125,1.8,7.67,10.8,1,2,2018-10-02
"1156",3086,"Wisla (POL)","Men",134,0,2019,701,134,120,1.8,7.24,10.8,1,0,2018-11-16
"1157",3087,"Wisla (POL)","Men",134,1,2019,345,134,120,1.8,7.24,10.8,0,0,2018-11-17
"1158",3088,"Wisla (POL)","Men",134,0,2019,346,134,120,1.8,7.24,10.8,0,0,2018-11-18
"1159",3090,"Ruka (FIN)","Men",142,0,2019,347,142,120,1.8,9.54,11.7,0,0,2018-11-24
"1160",3091,"Ruka (FIN)","Men",142,0,2019,702,142,120,1.8,9.54,11.7,1,0,2018-11-25
"1161",3091,"Ruka (FIN)","Men",142,0,2019,348,142,120,1.8,9.54,11.7,0,0,2018-11-25
"1162",3042,"Lillehammer (NOR)","Women",98,0,2019,684,98,90,2,7,8,1,0,2018-11-29
"1163",3092,"Nizhny Tagil (RUS)","Men",134,0,2019,703,134,120,1.8,7.24,9.9,1,0,2018-11-30
"1164",3043,"Lillehammer (NOR)","Women",98,0,2019,440,98,90,2,7,8,0,0,2018-11-30
"1165",3044,"Lillehammer (NOR)","Women",98,0,2019,685,98,90,2,7,8,1,0,2018-12-01
"1166",3044,"Lillehammer (NOR)","Women",98,0,2019,441,98,90,2,7,8,0,0,2018-12-01
"1167",3093,"Nizhny Tagil (RUS)","Men",134,0,2019,443,134,120,1.8,7.24,9.9,0,0,2018-12-01
"1168",3045,"Lillehammer (NOR)","Women",140,0,2019,686,140,123,1.8,7.56,9.9,1,0,2018-12-02
"1169",3094,"Nizhny Tagil (RUS)","Men",134,0,2019,704,134,120,1.8,7.24,9.9,1,0,2018-12-02
"1170",3045,"Lillehammer (NOR)","Women",140,0,2019,442,140,123,1.8,7.56,9.9,0,0,2018-12-02
"1171",3094,"Nizhny Tagil (RUS)","Men",134,0,2019,444,134,120,1.8,7.24,9.9,0,0,2018-12-02
"1172",3194,"Lillehammer (NOR)","Men",140,0,2019,1148,140,123,1.8,7.56,9.9,0,1,2018-12-08
"1173",3195,"Lillehammer (NOR)","Men",140,0,2019,1149,140,123,1.8,7.56,9.9,0,1,2018-12-09
"1174",3051,"Premanon (FRA)","Women",90,0,2019,687,90,81,2,7,8,1,0,2018-12-14
"1175",3095,"Engelberg (SUI)","Men",140,0,2019,705,140,125,1.8,7.56,10.44,1,0,2018-12-14
"1176",3196,"Notodden (NOR)","Men",98,0,2019,1150,98,90,2,NA,NA,0,1,2018-12-14
"1177",3197,"Notodden (NOR)","Women",98,0,2019,1151,98,90,2,NA,NA,0,1,2018-12-14
"1178",3052,"Premanon (FRA)","Women",90,0,2019,322,90,81,2,7,8,0,0,2018-12-15
"1179",3096,"Engelberg (SUI)","Men",140,0,2019,349,140,125,1.8,7.56,10.44,0,0,2018-12-15
"1180",3198,"Notodden (NOR)","Men",98,0,2019,1152,98,90,2,NA,NA,0,1,2018-12-15
"1181",3199,"Notodden (NOR)","Women",98,0,2019,1153,98,90,2,NA,NA,0,1,2018-12-15
"1182",3222,"Ruka (FIN)","Men",142,0,2019,1163,142,120,1.8,9.54,11.7,0,1,2018-12-15
"1183",3053,"Premanon (FRA)","Women",90,0,2019,688,90,81,2,7,8,1,0,2018-12-16
"1184",3097,"Engelberg (SUI)","Men",140,0,2019,706,140,125,1.8,7.56,10.44,1,0,2018-12-16
"1185",3053,"Premanon (FRA)","Women",90,0,2019,323,90,81,2,7,8,0,0,2018-12-16
"1186",3097,"Engelberg (SUI)","Men",140,0,2019,350,140,125,1.8,7.56,10.44,0,0,2018-12-16
"1187",3223,"Ruka (FIN)","Men",142,0,2019,1164,142,120,1.8,9.54,11.7,0,1,2018-12-16
"1188",3177,"Engelberg (SUI)","Men",140,0,2019,1141,140,125,1.8,7.56,10.44,0,1,2018-12-27
"1189",3178,"Engelberg (SUI)","Men",140,0,2019,1142,140,125,1.8,7.56,10.44,0,1,2018-12-28
"1190",3098,"Oberstdorf (GER)","Men",137,0,2019,707,137,120,1.8,7.56,10.8,1,0,2018-12-29
"1191",3099,"Oberstdorf (GER)","Men",137,0,2019,351,137,120,1.8,7.56,10.8,0,0,2018-12-30
"1192",3100,"Garmisch-Partenkirchen (GER)","Men",142,0,2019,708,142,125,1.8,7.67,10.44,1,0,2018-12-31
"1193",3101,"Garmisch-Partenkirchen (GER)","Men",142,0,2019,445,142,125,1.8,7.67,10.44,0,0,2019-01-01
"1194",3102,"Innsbruck (AUT)","Men",130,0,2019,709,130,120,1.8,7.02,9.9,1,0,2019-01-03
"1195",3103,"Innsbruck (AUT)","Men",130,0,2019,352,130,120,1.8,7.02,9.9,0,0,2019-01-04
"1196",3104,"Bischofshofen (AUT)","Men",142,0,2019,710,142,125,1.8,4.86,10.8,1,0,2019-01-06
"1197",3105,"Bischofshofen (AUT)","Men",142,0,2019,353,142,125,1.8,4.86,10.8,0,0,2019-01-06
"1198",3220,"Klingenthal (GER)","Men",140,0,2019,1161,140,125,1.8,7.67,10.8,0,1,2019-01-06
"1199",3221,"Klingenthal (GER)","Men",140,0,2019,1162,140,125,1.8,7.67,10.8,0,1,2019-01-06
"1200",3054,"Sapporo (JPN)","Women",137,0,2019,689,137,123,1.8,7.4,10.8,1,0,2019-01-11
"1201",3202,"Val di Fiemme (ITA)","Men",135,0,2019,722,135,120,1.8,5.58,10.8,1,0,2019-01-11
"1202",3055,"Sapporo (JPN)","Women",137,0,2019,324,137,123,1.8,7.4,10.8,0,0,2019-01-12
"1203",3203,"Val di Fiemme (ITA)","Men",135,0,2019,374,135,120,1.8,5.58,10.8,0,0,2019-01-12
"1204",3262,"Bischofshofen (AUT)","Men",142,0,2019,1177,142,125,1.8,4.86,10.8,0,1,2019-01-12
"1205",3263,"Bischofshofen (AUT)","Men",142,0,2019,1178,142,125,1.8,4.86,10.8,0,1,2019-01-12
"1206",3056,"Sapporo (JPN)","Women",137,0,2019,690,137,123,1.8,7.4,10.8,1,0,2019-01-13
"1207",3056,"Sapporo (JPN)","Women",137,0,2019,325,137,123,1.8,7.4,10.8,0,0,2019-01-13
"1208",3204,"Val di Fiemme (ITA)","Men",135,0,2019,375,135,120,1.8,5.58,10.8,0,0,2019-01-13
"1209",3107,"Zakopane (POL)","Men",134,0,2019,711,140,125,1.8,7.56,10.8,1,0,2019-01-18
"1210",3058,"Zao (JPN)","Women",102,0,2019,326,102,95,2,7,8,0,0,2019-01-18
"1211",3290,"Sapporo Okurayama (JPN)","Men",137,0,2019,1181,137,123,1.8,7.45,10.8,0,1,2019-01-18
"1212",3059,"Zao (JPN)","Women",102,1,2019,327,102,95,2,7,8,0,0,2019-01-19
"1213",3108,"Zakopane (POL)","Men",134,1,2019,354,140,125,1.8,7.56,10.8,0,0,2019-01-19
"1214",3212,"Sapporo Okurayama (JPN)","Men",137,0,2019,1158,137,123,1.8,7.45,10.8,0,1,2019-01-19
"1215",3236,"Planica (SLO)","Women",102,0,2019,1167,102,95,2,7,8,0,1,2019-01-19
"1216",3238,"Planica (SLO)","Men",102,0,2019,1169,102,95,2,7,8,0,1,2019-01-19
"1217",3060,"Zao (JPN)","Women",102,0,2019,328,102,95,2,7,8,0,0,2019-01-20
"1218",3109,"Zakopane (POL)","Men",134,0,2019,355,140,125,1.8,7.56,10.8,0,0,2019-01-20
"1219",3237,"Planica (SLO)","Women",102,0,2019,1168,102,95,2,7,8,0,1,2019-01-20
"1220",3239,"Planica (SLO)","Men",102,0,2019,1170,102,95,2,7,8,0,1,2019-01-20
"1221",3292,"Sapporo Okurayama (JPN)","Men",137,0,2019,1183,137,123,1.8,7.45,10.8,0,1,2019-01-20
"1222",3110,"Sapporo (JPN)","Men",137,0,2019,712,137,123,1.8,7.4,10.8,1,0,2019-01-25
"1223",3062,"Rasnov (ROU)","Women",97,0,2019,329,97,90,2,7,8,0,0,2019-01-26
"1224",3111,"Sapporo (JPN)","Men",137,0,2019,356,137,123,1.8,7.4,10.8,0,0,2019-01-26
"1225",3240,"Planica (SLO)","Men",139,0,2019,1171,139,NA,NA,NA,NA,0,1,2019-01-26
"1226",3112,"Sapporo (JPN)","Men",137,0,2019,713,137,123,1.8,7.4,10.8,1,0,2019-01-27
"1227",3063,"Rasnov (ROU)","Women",97,0,2019,330,97,90,2,7,8,0,0,2019-01-27
"1228",3112,"Sapporo (JPN)","Men",137,0,2019,357,137,123,1.8,7.4,10.8,0,0,2019-01-27
"1229",3241,"Planica (SLO)","Men",139,0,2019,1172,139,NA,NA,NA,NA,0,1,2019-01-27
"1230",3064,"Hinzenbach (AUT)","Women",90,0,2019,691,90,85,2,4.8,7,1,0,2019-02-01
"1231",3113,"Oberstdorf (GER)","Men",235,0,2019,714,235,200,1.2,8.46,14.4,1,0,2019-02-01
"1232",3113,"Oberstdorf (GER)","Men",235,0,2019,358,235,200,1.2,8.46,14.4,0,0,2019-02-01
"1233",3114,"Oberstdorf (GER)","Men",235,0,2019,715,235,200,1.2,8.46,14.4,1,0,2019-02-02
"1234",3065,"Hinzenbach (AUT)","Women",90,0,2019,331,90,85,2,4.8,7,0,0,2019-02-02
"1235",3114,"Oberstdorf (GER)","Men",235,0,2019,359,235,200,1.2,8.46,14.4,0,0,2019-02-02
"1236",3066,"Hinzenbach (AUT)","Women",90,0,2019,692,90,85,2,4.8,7,1,0,2019-02-03
"1237",3115,"Oberstdorf (GER)","Men",235,0,2019,716,235,200,1.2,8.46,14.4,1,0,2019-02-03
"1238",3066,"Hinzenbach (AUT)","Women",90,0,2019,332,90,85,2,4.8,7,0,0,2019-02-03
"1239",3115,"Oberstdorf (GER)","Men",235,0,2019,360,235,200,1.2,8.46,14.4,0,0,2019-02-03
"1240",3067,"Ljubno (SLO)","Women",94,0,2019,693,94,85,2,7,8,1,0,2019-02-07
"1241",3116,"Lahti (FIN)","Men",130,0,2019,717,130,116,1.8,7.56,9.9,1,0,2019-02-08
"1242",3068,"Ljubno (SLO)","Women",94,0,2019,333,94,85,2,7,8,0,0,2019-02-08
"1243",3069,"Ljubno (SLO)","Women",94,1,2019,334,94,85,2,7,8,0,0,2019-02-09
"1244",3117,"Lahti (FIN)","Men",130,1,2019,361,130,116,1.8,7.56,9.9,0,0,2019-02-09
"1245",3210,"Iron Mountain, MI (USA)","Men",133,0,2019,1156,133,120,1.8,7.2,9,0,1,2019-02-09
"1246",3291,"Iron Mountain, MI (USA)","Men",133,0,2019,1182,133,120,1.8,7.2,9,0,1,2019-02-09
"1247",3070,"Ljubno (SLO)","Women",94,0,2019,335,94,85,2,7,8,0,0,2019-02-10
"1248",3118,"Lahti (FIN)","Men",130,0,2019,362,130,116,1.8,7.56,9.9,0,0,2019-02-10
"1249",3211,"Iron Mountain, MI (USA)","Men",133,0,2019,1157,133,120,1.8,7.2,9,0,1,2019-02-10
"1250",3071,"Oberstdorf (GER)","Women",137,0,2019,694,137,120,1.8,7.56,10.8,1,0,2019-02-15
"1251",3293,"Willingen (GER)","Men",145,0,2019,724,145,130,1.8,7.99,11.7,1,0,2019-02-15
"1252",3119,"Willingen (GER)","Men",145,1,2019,363,145,130,1.8,7.99,11.7,0,0,2019-02-15
"1253",3232,"Oberstdorf (GER)","Men",140,0,2019,1165,140,NA,NA,NA,NA,0,1,2019-02-15
"1254",3072,"Oberstdorf (GER)","Women",137,0,2019,336,137,120,1.8,7.56,10.8,0,0,2019-02-16
"1255",3120,"Willingen (GER)","Men",145,0,2019,364,145,130,1.8,7.99,11.7,0,0,2019-02-16
"1256",3233,"Oberstdorf (GER)","Men",140,0,2019,1166,140,NA,NA,NA,NA,0,1,2019-02-16
"1257",3073,"Oberstdorf (GER)","Women",137,0,2019,695,137,120,1.8,7.56,10.8,1,0,2019-02-17
"1258",3073,"Oberstdorf (GER)","Women",137,0,2019,337,137,120,1.8,7.56,10.8,0,0,2019-02-17
"1259",3121,"Willingen (GER)","Men",145,0,2019,365,145,130,1.8,7.99,11.7,0,0,2019-02-17
"1260",3248,"Brotterode (GER)","Women",117,0,2019,1173,117,105,1.8,7.2,8.1,0,1,2019-02-23
"1261",3249,"Brotterode (GER)","Men",117,0,2019,1174,117,105,1.8,7.2,8.1,0,1,2019-02-23
"1262",3250,"Brotterode (GER)","Women",117,0,2019,1175,117,105,1.8,7.2,8.1,0,1,2019-02-24
"1263",3251,"Brotterode (GER)","Men",117,0,2019,1176,117,105,1.8,7.2,8.1,0,1,2019-02-24
"1264",3200,"Rena (NOR)","Men",139,0,2019,1154,139,124,1.8,7.56,10.8,0,1,2019-03-02
"1265",3201,"Rena (NOR)","Men",139,0,2019,1155,139,124,1.8,7.56,10.8,0,1,2019-03-03
"1266",3122,"Oslo (NOR)","Men",134,0,2019,718,134,120,1.8,7.13,9.9,1,0,2019-03-08
"1267",3074,"Oslo (NOR)","Women",134,0,2019,696,134,120,1.8,7.13,9.9,1,0,2019-03-09
"1268",3123,"Oslo (NOR)","Men",134,1,2019,366,134,120,1.8,7.13,9.9,0,0,2019-03-09
"1269",3075,"Oslo (NOR)","Women",134,0,2019,338,134,120,1.8,7.13,9.9,0,0,2019-03-10
"1270",3124,"Oslo (NOR)","Men",134,0,2019,367,134,120,1.8,7.13,9.9,0,0,2019-03-10
"1271",3076,"Lillehammer (NOR)","Women",140,0,2019,697,140,123,1.8,7.56,9.9,1,0,2019-03-11
"1272",3230,"Lillehammer (NOR)","Men",140,0,2019,723,140,123,1.8,7.56,9.9,1,0,2019-03-11
"1273",3077,"Lillehammer (NOR)","Women",140,0,2019,339,140,123,1.8,7.56,9.9,0,0,2019-03-12
"1274",3231,"Lillehammer (NOR)","Men",140,0,2019,376,140,123,1.8,7.56,9.9,0,0,2019-03-12
"1275",3078,"Trondheim (NOR)","Women",138,0,2019,698,138,124,1.8,7.45,10.8,1,0,2019-03-13
"1276",3127,"Trondheim (NOR)","Men",138,0,2019,719,138,124,1.8,7.45,10.8,1,0,2019-03-13
"1277",3079,"Trondheim (NOR)","Women",138,0,2019,340,138,124,1.8,7.45,10.8,0,0,2019-03-14
"1278",3128,"Trondheim (NOR)","Men",138,0,2019,368,138,124,1.8,7.45,10.8,0,0,2019-03-14
"1279",3129,"Vikersund (NOR)","Men",240,0,2019,720,240,200,1.2,8.64,14.4,1,0,2019-03-15
"1280",3081,"Nizhny Tagil (RUS)","Women",97,0,2019,699,97,90,2,7,8,1,0,2019-03-16
"1281",3081,"Nizhny Tagil (RUS)","Women",97,0,2019,341,97,90,2,7,8,0,0,2019-03-16
"1282",3130,"Vikersund (NOR)","Men",240,1,2019,369,240,200,1.2,8.64,14.4,0,0,2019-03-16
"1283",3270,"Zakopane (POL)","Men",140,0,2019,1179,140,125,1.8,7.56,10.8,0,1,2019-03-16
"1284",3082,"Nizhny Tagil (RUS)","Women",97,0,2019,342,97,90,2,7,8,0,0,2019-03-17
"1285",3131,"Vikersund (NOR)","Men",240,0,2019,370,240,200,1.2,8.64,14.4,0,0,2019-03-17
"1286",3271,"Zakopane (POL)","Men",140,0,2019,1180,140,125,1.8,7.56,10.8,0,1,2019-03-17
"1287",3133,"Planica (SLO)","Men",240,0,2019,721,240,200,1.2,8.64,14.4,1,0,2019-03-21
"1288",3083,"Chaikovsky (RUS)","Women",102,0,2019,700,102,95,2,7,8,1,0,2019-03-22
"1289",3134,"Planica (SLO)","Men",240,0,2019,371,240,200,1.2,8.64,14.4,0,0,2019-03-22
"1290",3084,"Chaikovsky (RUS)","Women",102,0,2019,343,102,95,2,7,8,0,0,2019-03-23
"1291",3135,"Planica (SLO)","Men",240,1,2019,372,240,200,1.2,8.64,14.4,0,0,2019-03-23
"1292",3214,"Chaikovskiy (RUS)","Men",140,0,2019,1159,140,NA,NA,NA,NA,0,1,2019-03-23
"1293",3085,"Chaikovsky (RUS)","Women",140,0,2019,344,140,125,1.8,7.56,10.8,0,0,2019-03-24
"1294",3136,"Planica (SLO)","Men",240,0,2019,373,240,200,1.2,8.64,14.4,0,0,2019-03-24
"1295",3215,"Chaikovskiy (RUS)","Men",140,0,2019,1160,140,125,1.8,7.56,10.8,0,1,2019-03-24
"1296",3052,"Kranj (SLO)","Men",109,0,2020,1189,109,100,1.8,7,8,0,1,2019-07-05
"1297",3053,"Kranj (SLO)","Men",109,0,2020,1190,109,100,1.8,7,8,0,1,2019-07-06
"1298",3169,"Schuchinsk (KAZ)","Women",95,0,2020,1193,95,NA,NA,NA,NA,0,1,2019-07-13
"1299",3170,"Schuchinsk (KAZ)","Men",125,0,2020,1194,125,NA,NA,NA,NA,0,1,2019-07-13
"1300",3171,"Schuchinsk (KAZ)","Women",95,0,2020,1195,95,NA,NA,NA,NA,0,1,2019-07-14
"1301",3172,"Schuchinsk (KAZ)","Men",125,0,2020,1196,125,NA,NA,NA,NA,0,1,2019-07-14
"195",3002,"Wisla (POL)","Men",134,0,2020,59,134,120,1.8,7.24,10.8,1,2,2019-07-19
"122",3001,"Wisla (POL)","Men",134,1,2020,121,134,120,1.8,7.24,10.8,0,2,2019-07-20
"123",3003,"Wisla (POL)","Men",134,0,2020,122,134,120,1.8,7.24,10.8,0,2,2019-07-21
"196",3004,"Hinterzarten (GER)","Men",108,0,2020,60,108,95,2,7,8.4,1,2,2019-07-26
"197",3005,"Hinterzarten (GER)","Women",108,0,2020,61,108,95,2,7,8.4,1,2,2019-07-26
"124",3005,"Hinterzarten (GER)","Women",108,0,2020,123,108,95,2,7,8.4,0,2,2019-07-26
"125",3006,"Hinterzarten (GER)","Men",108,0,2020,124,108,95,2,7,8.4,0,2,2019-07-27
"126",3007,"Hinterzarten (GER)","Mix",108,1,2020,125,108,95,2,7,8.4,0,2,2019-07-27
"1302",3182,"Szczyrk (POL)","Women",104,0,2020,1197,104,95,2,7,8,0,1,2019-08-08
"127",3009,"Courchevel (FRA)","Women",135,0,2020,126,135,125,1.8,8.82,12.6,0,2,2019-08-09
"1303",3183,"Szczyrk (POL)","Women",104,0,2020,1198,104,95,2,7,8,0,1,2019-08-09
"198",3010,"Courchevel (FRA)","Men",135,0,2020,62,135,125,1.8,8.82,12.6,1,2,2019-08-10
"128",3011,"Courchevel (FRA)","Men",135,0,2020,127,135,125,1.8,8.82,12.6,0,2,2019-08-10
"1304",3184,"Wisla (POL)","Men",134,0,2020,1199,134,120,1.8,7.24,10.8,0,1,2019-08-10
"1305",3185,"Wisla (POL)","Men",134,0,2020,1200,134,120,1.8,7.24,10.8,0,1,2019-08-11
"199",3012,"Zakopane (POL)","Men",140,0,2020,63,140,125,1.8,7.56,10.8,1,2,2019-08-16
"1306",3194,"Frenstat od Radhostem (CZE)","Men",106,0,2020,1205,106,95,2,7,8,0,1,2019-08-16
"200",3015,"Frenstat (CZE)","Women",106,0,2020,64,106,95,2,7,8,1,2,2019-08-17
"129",3013,"Zakopane (POL)","Men",140,1,2020,128,140,125,1.8,7.56,10.8,0,2,2019-08-17
"1307",3195,"Frenstat od Radhostem (CZE)","Men",106,0,2020,1206,106,95,2,7,8,0,1,2019-08-17
"130",3014,"Zakopane (POL)","Men",140,0,2020,129,140,125,1.8,7.56,10.8,0,2,2019-08-18
"131",3016,"Frenstat (CZE)","Women",106,0,2020,130,106,95,2,7,8,0,2,2019-08-18
"132",3018,"Hakuba (JPN)","Men",131,0,2020,131,131,120,1.8,8.82,10.8,0,2,2019-08-23
"133",3019,"Hakuba (JPN)","Men",131,0,2020,132,131,120,1.8,8.82,10.8,0,2,2019-08-24
"1308",3066,"Rasnov (ROU)","Men",97,0,2020,1191,97,90,2,7,8,0,1,2019-08-31
"1309",3067,"Rasnov (ROU)","Men",97,0,2020,1192,97,90,2,7,8,0,1,2019-09-01
"1310",3044,"Lillehammer (NOR)","Women",100,0,2020,1186,100,NA,NA,NA,NA,0,1,2019-09-14
"1311",3046,"Lillehammer (NOR)","Men",138,0,2020,1187,138,NA,NA,NA,NA,0,1,2019-09-14
"1312",3047,"Lillehammer (NOR)","Men",138,0,2020,1188,138,NA,NA,NA,NA,0,1,2019-09-15
"1313",3186,"Stams (AUT)","Women",115,0,2020,1201,115,105,1.8,7.2,10.44,0,1,2019-09-21
"1314",3187,"Stams (AUT)","Men",115,0,2020,1202,115,105,1.8,7.2,10.44,0,1,2019-09-21
"1315",3188,"Stams (AUT)","Women",115,0,2020,1203,115,105,1.8,7.2,10.44,0,1,2019-09-22
"1316",3189,"Stams (AUT)","Men",115,0,2020,1204,115,105,1.8,7.2,10.44,0,1,2019-09-22
"201",3030,"Hinzenbach (AUT)","Men",90,0,2020,65,90,85,2,4.8,7,1,2,2019-09-28
"1317",3038,"Klingenthal (GER)","Men",140,0,2020,1184,140,125,1.8,7.67,10.8,0,1,2019-09-28
"134",3031,"Hinzenbach (AUT)","Men",90,0,2020,133,90,85,2,4.8,7,0,2,2019-09-29
"1318",3039,"Klingenthal (GER)","Men",140,0,2020,1185,140,125,1.8,7.67,10.8,0,1,2019-09-29
"202",3032,"Klingenthal (GER)","Men",140,0,2020,66,140,125,1.8,7.67,10.8,1,2,2019-10-04
"135",3033,"Klingenthal (GER)","Men",140,0,2020,134,140,125,1.8,7.67,10.8,0,2,2019-10-05
"1319",3106,"Wisla (POL)","Men",134,0,2020,741,134,120,1.8,7.24,10.8,1,0,2019-11-22
"1320",3107,"Wisla (POL)","Men",134,1,2020,393,134,120,1.8,7.24,10.8,0,0,2019-11-23
"1321",3108,"Wisla (POL)","Men",134,0,2020,394,134,120,1.8,7.24,10.8,0,0,2019-11-24
"1322",3109,"Ruka (FIN)","Men",142,0,2020,742,142,120,1.8,9.54,11.7,1,0,2019-11-29
"1323",3110,"Ruka (FIN)","Men",142,0,2020,448,142,120,1.8,9.54,11.7,0,0,2019-11-30
"1324",3068,"Lillehammer (NOR)","Women",140,0,2020,725,140,123,1.8,7.56,9.9,1,0,2019-12-06
"1325",3112,"Nizhny Tagil (RUS)","Men",134,0,2020,743,134,120,1.8,7.24,9.9,1,0,2019-12-06
"1326",3069,"Lillehammer (NOR)","Women",140,0,2020,377,140,123,1.8,7.56,9.9,0,0,2019-12-07
"1327",3113,"Nizhny Tagil (RUS)","Men",134,0,2020,395,134,120,1.8,7.24,9.9,0,0,2019-12-07
"1328",3198,"Vikersund (NOR)","Men",117,0,2020,1207,117,105,1.8,7.2,10.44,0,1,2019-12-07
"1329",3070,"Lillehammer (NOR)","Women",140,0,2020,726,140,123,1.8,7.56,9.9,1,0,2019-12-08
"1330",3114,"Nizhny Tagil (RUS)","Men",134,0,2020,744,134,120,1.8,7.24,9.9,1,0,2019-12-08
"1331",3070,"Lillehammer (NOR)","Women",140,0,2020,378,140,123,1.8,7.56,9.9,0,0,2019-12-08
"1332",3114,"Nizhny Tagil (RUS)","Men",134,0,2020,396,134,120,1.8,7.24,9.9,0,0,2019-12-08
"1333",3199,"Vikersund (NOR)","Men",117,0,2020,1208,117,105,1.8,7.2,10.44,0,1,2019-12-08
"1334",3115,"Klingenthal (GER)","Men",140,0,2020,745,140,125,1.8,7.67,10.8,1,0,2019-12-13
"1335",3200,"Notodden (NOR)","Men",98,0,2020,1209,98,90,2,7,8,0,1,2019-12-13
"1336",3202,"Notodden (NOR)","Women",98,0,2020,1211,98,90,2,7,8,0,1,2019-12-13
"1337",3072,"Klingenthal (GER)","Women",140,0,2020,379,140,125,1.8,7.67,10.8,0,0,2019-12-14
"1338",3116,"Klingenthal (GER)","Men",140,1,2020,397,140,125,1.8,7.67,10.8,0,0,2019-12-14
"1339",3201,"Notodden (NOR)","Men",98,0,2020,1210,98,90,2,7,8,0,1,2019-12-14
"1340",3203,"Notodden (NOR)","Women",98,0,2020,1212,98,90,2,7,8,0,1,2019-12-14
"1341",3227,"Ruka (FIN)","Men",142,0,2020,1216,142,120,1.8,9.54,11.7,0,1,2019-12-14
"1342",3117,"Klingenthal (GER)","Men",140,0,2020,398,140,125,1.8,7.67,10.8,0,0,2019-12-15
"1343",3228,"Ruka (FIN)","Men",142,0,2020,1217,142,120,1.8,9.54,11.7,0,1,2019-12-15
"1344",3118,"Engelberg (SUI)","Men",140,0,2020,746,140,125,1.8,7.56,10.44,1,0,2019-12-21
"1345",3119,"Engelberg (SUI)","Men",140,0,2020,399,140,125,1.8,7.56,10.44,0,0,2019-12-21
"1346",3120,"Engelberg (SUI)","Men",140,0,2020,400,140,125,1.8,7.56,10.44,0,0,2019-12-22
"1347",3121,"Oberstdorf (GER)","Men",137,0,2020,747,137,120,1.8,7.56,10.8,1,0,2019-12-28
"1348",3122,"Oberstdorf (GER)","Men",137,0,2020,401,137,120,1.8,7.56,10.8,0,0,2019-12-29
"1349",3123,"Garmisch-Partenkirchen (GER)","Men",142,0,2020,748,142,125,1.8,7.67,10.44,1,0,2019-12-31
"1350",3124,"Garmisch-Partenkirchen (GER)","Men",142,0,2020,449,142,125,1.8,7.67,10.44,0,0,2020-01-01
"1351",3125,"Innsbruck (AUT)","Men",130,0,2020,749,130,120,1.8,7.02,9.9,1,0,2020-01-03
"1352",3126,"Innsbruck (AUT)","Men",130,0,2020,402,130,120,1.8,7.02,9.9,0,0,2020-01-04
"1353",3127,"Bischofshofen (AUT)","Men",142,0,2020,750,142,125,1.8,4.86,10.8,1,0,2020-01-05
"1354",3128,"Bischofshofen (AUT)","Men",142,0,2020,403,142,125,1.8,4.86,10.8,0,0,2020-01-06
"1355",3073,"Sapporo (JPN)","Women",137,0,2020,727,137,123,1.8,7.4,10.8,1,0,2020-01-10
"1356",3130,"Val di Fiemme (ITA)","Men",104,0,2020,751,104,95,2,5,8,1,0,2020-01-10
"1357",3074,"Sapporo (JPN)","Women",137,0,2020,380,137,123,1.8,7.4,10.8,0,0,2020-01-11
"1358",3131,"Val di Fiemme (ITA)","Men",104,0,2020,404,104,95,2,5,8,0,0,2020-01-11
"1359",3257,"Bischofshofen (AUT)","Men",142,0,2020,1230,142,125,1.8,4.86,10.8,0,1,2020-01-11
"1360",3075,"Sapporo (JPN)","Women",137,0,2020,728,137,123,1.8,7.4,10.8,1,0,2020-01-12
"1361",3132,"Val di Fiemme (ITA)","Men",104,0,2020,752,104,95,2,5,8,1,0,2020-01-12
"1362",3075,"Sapporo (JPN)","Women",137,0,2020,381,137,123,1.8,7.4,10.8,0,0,2020-01-12
"1363",3132,"Val di Fiemme (ITA)","Men",104,0,2020,405,104,95,2,5,8,0,0,2020-01-12
"1364",3258,"Bischofshofen (AUT)","Men",142,0,2020,1231,142,125,1.8,4.86,10.8,0,1,2020-01-12
"1365",3076,"Zao (JPN)","Women",102,0,2020,729,102,95,2,7,8,1,0,2020-01-16
"1366",3133,"Titisee-Neustadt (GER)","Men",142,0,2020,753,142,125,1.8,7.67,10.8,1,0,2020-01-17
"1367",3077,"Zao (JPN)","Women",102,0,2020,382,102,95,2,7,8,0,0,2020-01-17
"1368",3078,"Zao (JPN)","Women",102,1,2020,383,102,95,2,7,8,0,0,2020-01-18
"1369",3134,"Titisee-Neustadt (GER)","Men",142,0,2020,406,142,125,1.8,7.67,10.8,0,0,2020-01-18
